Week               , Date                            , Hours can be Spent, Things to Get Done, Remarks
Week 13            , 01-01-26 (THURSDAY)             ,                   ,                   ,
                   , 02-01-26 (FRIDAY)               ,                   ,                   ,
                   , 03-01-26 (SATURDAY)             ,                   ,                   ,
Week 13's Objective,                                 ,                   ,                   ,
Week 14            , 04-01-26 (SUNDAY)               ,                   ,                   ,
                   , 05-01-26 (MONDAY)               ,                   ,                   ,
                   , 06-01-26 (TUESDAY)              ,                   ,                   ,
                   , 07-01-26 (WEDNESDAY)            ,                   ,                   ,
                   , 08-01-26 (THURSDAY)             ,                   ,                   ,
                   , 09-01-26 (FRIDAY)               ,                   ,                   ,
                   , 10-01-26 (SATURDAY)             ,                   ,                   ,
Week 14's Objective,                                 ,                   ,                   ,
Week 15            , 11-01-26 (SUNDAY)               ,                   ,                   ,
                   , 12-01-26 (MONDAY)               ,                   ,                   ,
                   , 13-01-26 (TUESDAY)              ,                   ,                   ,
                   , 14-01-26 (WEDNESDAY)            ,                   ,                   ,
                   , 15-01-26 (THURSDAY)             ,                   ,                   ,
                   , 16-01-26 (FRIDAY)               ,                   ,                   ,
                   , 17-01-26 (SATURDAY)             ,                   ,                   ,
Week 15's Objective,                                 ,                   ,                   ,
Week 16            , 18-01-26 (SUNDAY)               ,                   ,                   ,
                   , 19-01-26 (MONDAY)               ,                   ,                   ,
                   , 20-01-26 (TUESDAY)              ,                   ,                   ,
                   , 21-01-26 (WEDNESDAY)            ,                   ,                   ,
                   , 22-01-26 (THURSDAY)             ,                   ,                   ,
                   , 23-01-26 (FRIDAY)               ,                   ,                   ,
                   , 24-01-26 (SATURDAY)             ,                   ,                   ,
Week 16's Objective,                                 ,                   ,                   ,
Week 17            , 25-01-26 (SUNDAY)               ,                   ,                   ,
                   , 26-01-26 (MONDAY)               ,                   ,                   ,
                   , 27-01-26 (TUESDAY)              ,                   ,                   ,
                   , 28-01-26 (WEDNESDAY)            ,                   ,                   ,
                   , 29-01-26 (THURSDAY)             ,                   ,                   ,
                   , 30-01-26 (FRIDAY)               ,                   ,                   ,
                   , 31-01-26 (SATURDAY)             ,                   ,                   ,
Week 17's Objective,                                 ,                   ,                   ,
